distance	O_AE_s1	O_pp_s1	O_AE_s2	O_pp_s2	O_AE_p1	O_pp_p1	O_AE_p2	O_pp_p2
2.41E-04	2.46E-03	-4.77E-04	2.01E-03	-4.26E-04	1.13E-06	1.34E-07	1.33E-06	1.49E-07
2.43E-04	2.48E-03	-4.82E-04	2.03E-03	-4.30E-04	1.15E-06	1.37E-07	1.36E-06	1.52E-07
2.45E-04	2.50E-03	-4.86E-04	2.05E-03	-4.35E-04	1.17E-06	1.40E-07	1.38E-06	1.55E-07
2.48E-04	2.53E-03	-4.91E-04	2.07E-03	-4.39E-04	1.19E-06	1.42E-07	1.40E-06	1.58E-07
2.50E-04	2.55E-03	-4.96E-04	2.09E-03	-4.43E-04	1.22E-06	1.45E-07	1.43E-06	1.61E-07
2.52E-04	2.57E-03	-5.00E-04	2.11E-03	-4.47E-04	1.24E-06	1.48E-07	1.45E-06	1.64E-07
2.55E-04	2.60E-03	-5.05E-04	2.13E-03	-4.51E-04	1.26E-06	1.50E-07	1.48E-06	1.67E-07
2.57E-04	2.62E-03	-5.10E-04	2.15E-03	-4.55E-04	1.28E-06	1.53E-07	1.50E-06	1.70E-07
2.59E-04	2.65E-03	-5.14E-04	2.17E-03	-4.59E-04	1.30E-06	1.56E-07	1.53E-06	1.73E-07
2.62E-04	2.67E-03	-5.19E-04	2.19E-03	-4.64E-04	1.32E-06	1.59E-07	1.56E-06	1.76E-07
2.64E-04	2.69E-03	-5.24E-04	2.21E-03	-4.68E-04	1.35E-06	1.62E-07	1.58E-06	1.80E-07
2.67E-04	2.72E-03	-5.28E-04	2.23E-03	-4.72E-04	1.37E-06	1.65E-07	1.61E-06	1.83E-07
2.69E-04	2.74E-03	-5.33E-04	2.25E-03	-4.76E-04	1.39E-06	1.68E-07	1.64E-06	1.86E-07
2.71E-04	2.77E-03	-5.38E-04	2.27E-03	-4.81E-04	1.41E-06	1.71E-07	1.66E-06	1.90E-07
2.74E-04	2.79E-03	-5.43E-04	2.29E-03	-4.85E-04	1.44E-06	1.74E-07	1.69E-06	1.93E-07
2.76E-04	2.82E-03	-5.48E-04	2.31E-03	-4.89E-04	1.46E-06	1.77E-07	1.72E-06	1.96E-07
2.79E-04	2.84E-03	-5.53E-04	2.33E-03	-4.94E-04	1.49E-06	1.80E-07	1.75E-06	2.00E-07
2.81E-04	2.87E-03	-5.57E-04	2.35E-03	-4.98E-04	1.51E-06	1.83E-07	1.78E-06	2.03E-07
2.84E-04	2.89E-03	-5.62E-04	2.37E-03	-5.02E-04	1.54E-06	1.87E-07	1.80E-06	2.07E-07
2.86E-04	2.92E-03	-5.67E-04	2.39E-03	-5.07E-04	1.56E-06	1.90E-07	1.83E-06	2.11E-07
2.89E-04	2.94E-03	-5.72E-04	2.41E-03	-5.11E-04	1.59E-06	1.93E-07	1.86E-06	2.14E-07
2.91E-04	2.97E-03	-5.77E-04	2.43E-03	-5.16E-04	1.61E-06	1.96E-07	1.89E-06	2.18E-07
2.94E-04	2.99E-03	-5.82E-04	2.45E-03	-5.20E-04	1.64E-06	2.00E-07	1.92E-06	2.22E-07
2.96E-04	3.02E-03	-5.87E-04	2.47E-03	-5.24E-04	1.66E-06	2.03E-07	1.95E-06	2.26E-07
2.99E-04	3.04E-03	-5.92E-04	2.49E-03	-5.29E-04	1.69E-06	2.07E-07	1.99E-06	2.30E-07
3.01E-04	3.07E-03	-5.97E-04	2.51E-03	-5.33E-04	1.72E-06	2.10E-07	2.02E-06	2.34E-07
3.04E-04	3.10E-03	-6.02E-04	2.54E-03	-5.38E-04	1.74E-06	2.14E-07	2.05E-06	2.37E-07
3.06E-04	3.12E-03	-6.07E-04	2.56E-03	-5.43E-04	1.77E-06	2.18E-07	2.08E-06	2.42E-07
3.09E-04	3.15E-03	-6.12E-04	2.58E-03	-5.47E-04	1.80E-06	2.21E-07	2.11E-06	2.46E-07
3.12E-04	3.17E-03	-6.17E-04	2.60E-03	-5.52E-04	1.83E-06	2.25E-07	2.15E-06	2.50E-07
3.14E-04	3.20E-03	-6.23E-04	2.62E-03	-5.56E-04	1.85E-06	2.29E-07	2.18E-06	2.54E-07
3.17E-04	3.23E-03	-6.28E-04	2.64E-03	-5.61E-04	1.88E-06	2.32E-07	2.21E-06	2.58E-07
3.19E-04	3.25E-03	-6.33E-04	2.66E-03	-5.66E-04	1.91E-06	2.36E-07	2.25E-06	2.62E-07
3.22E-04	3.28E-03	-6.38E-04	2.69E-03	-5.70E-04	1.94E-06	2.40E-07	2.28E-06	2.67E-07
3.25E-04	3.31E-03	-6.43E-04	2.71E-03	-5.75E-04	1.97E-06	2.44E-07	2.32E-06	2.71E-07
3.27E-04	3.33E-03	-6.49E-04	2.73E-03	-5.80E-04	2.00E-06	2.48E-07	2.35E-06	2.76E-07
3.30E-04	3.36E-03	-6.54E-04	2.75E-03	-5.84E-04	2.03E-06	2.52E-07	2.39E-06	2.80E-07
3.33E-04	3.39E-03	-6.59E-04	2.77E-03	-5.89E-04	2.06E-06	2.56E-07	2.42E-06	2.85E-07
3.35E-04	3.42E-03	-6.64E-04	2.80E-03	-5.94E-04	2.09E-06	2.61E-07	2.46E-06	2.89E-07
3.38E-04	3.44E-03	-6.70E-04	2.82E-03	-5.98E-04	2.13E-06	2.65E-07	2.50E-06	2.94E-07
3.41E-04	3.47E-03	-6.75E-04	2.84E-03	-6.03E-04	2.16E-06	2.69E-07	2.54E-06	2.99E-07
3.43E-04	3.50E-03	-6.81E-04	2.86E-03	-6.08E-04	2.19E-06	2.73E-07	2.57E-06	3.03E-07
3.46E-04	3.53E-03	-6.86E-04	2.89E-03	-6.13E-04	2.22E-06	2.78E-07	2.61E-06	3.08E-07
3.49E-04	3.55E-03	-6.91E-04	2.91E-03	-6.18E-04	2.25E-06	2.82E-07	2.65E-06	3.13E-07
3.52E-04	3.58E-03	-6.97E-04	2.93E-03	-6.23E-04	2.29E-06	2.87E-07	2.69E-06	3.18E-07
3.54E-04	3.61E-03	-7.02E-04	2.96E-03	-6.28E-04	2.32E-06	2.91E-07	2.73E-06	3.23E-07
3.57E-04	3.64E-03	-7.08E-04	2.98E-03	-6.32E-04	2.36E-06	2.96E-07	2.77E-06	3.28E-07
3.60E-04	3.67E-03	-7.13E-04	3.00E-03	-6.37E-04	2.39E-06	3.00E-07	2.81E-06	3.33E-07
3.63E-04	3.69E-03	-7.19E-04	3.02E-03	-6.42E-04	2.42E-06	3.05E-07	2.85E-06	3.39E-07
